train/learning_rate,time/iterations,train/entropy_loss,time/total_timesteps,train/value_loss,train/explained_variance,train/n_updates,train/std,train/reward,train/policy_loss,time/fps,time/time_elapsed
0.0007,100,-42.638038635253906,500,9.177244186401367,-1.1920928955078125e-07,99,1.0024341344833374,-0.12433443,-100.95487976074219,54,9
0.0007,200,-42.581993103027344,1000,61.04133224487305,-1.1920928955078125e-07,199,1.0006321668624878,10.609722,309.4150390625,54,18
0.0007,300,-42.572914123535156,1500,88.19972229003906,0.0,299,1.0004976987838745,1.6635258,386.52734375,55,27
0.0007,400,-42.59543228149414,2000,786.3089599609375,0.0,399,1.001430630683899,59.3306,-1020.4871826171875,55,36
0.0007,500,-42.588375091552734,2500,169.09817504882812,0.0,499,1.0009695291519165,-50.899265,-111.48592376708984,55,45
0.0007,600,-42.56884765625,3000,26.882095336914062,-0.0005730390548706055,599,1.0003042221069336,10.529587,-200.29061889648438,55,53
0.0007,700,-42.5794563293457,3500,145.05624389648438,0.0,699,1.0007023811340332,1.9788064,490.7508850097656,56,62
0.0007,800,-42.565242767333984,4000,151.54733276367188,0.0,799,1.0001986026763916,-3.929134,398.6843566894531,55,71
0.0007,900,-42.575836181640625,4500,1399.3951416015625,-1.1920928955078125e-07,899,1.0007174015045166,7.5825224,-1342.484375,56,80
0.0007,1000,-42.59623718261719,5000,77.25421905517578,-1.1920928955078125e-07,999,1.0014127492904663,-0.14495529,-28.638097763061523,56,89
0.0007,1100,-42.60422897338867,5500,2.1169819831848145,1.1920928955078125e-07,1099,1.0017777681350708,2.4874575,2.5801117420196533,56,97
0.0007,1200,-42.532676696777344,6000,0.2721503973007202,0.0048934221267700195,1199,0.999608039855957,-1.6160152,-13.89826488494873,56,106
0.0007,1300,-42.53070068359375,6500,34.193077087402344,0.0,1299,0.9993742108345032,0.51229817,-7.294921875,56,115
0.0007,1400,-42.50926208496094,7000,244.2454071044922,0.0,1399,0.9987035989761353,2.2995489,633.1483154296875,56,124
0.0007,1500,-42.504356384277344,7500,96.6515884399414,0.0,1499,0.9984182715415955,-5.8517947,40.36122512817383,56,133
0.0007,1600,-42.44795227050781,8000,0.7812683582305908,0.0,1599,0.9967267513275146,-1.2739156,-18.719650268554688,56,142
0.0007,1700,-42.41933822631836,8500,15.189584732055664,1.7881393432617188e-07,1699,0.9956556558609009,2.0266216,127.45533752441406,56,151
0.0007,1800,-42.442359924316406,9000,37.94746398925781,-1.1920928955078125e-07,1799,0.996600866317749,0.54670495,149.64675903320312,56,159
0.0007,1900,-42.41735076904297,9500,6.497632026672363,0.0,1899,0.9959177374839783,-3.0863407,35.154693603515625,56,168
0.0007,2000,-42.39619827270508,10000,24.657485961914062,0.0,1999,0.9951897263526917,9.140593,-95.56329345703125,56,177
0.0007,2100,-42.40402603149414,10500,2.6871416568756104,-0.0050133466720581055,2099,0.9955120086669922,0.10531089,-50.89295959472656,56,186
0.0007,2200,-42.4031982421875,11000,1.435719609260559,0.007541358470916748,2199,0.995010256767273,0.01283036,35.79117202758789,56,195
0.0007,2300,-42.396026611328125,11500,29.112951278686523,0.017289161682128906,2299,0.9950867891311646,1.5766114,206.545654296875,56,204
0.0007,2400,-42.40121841430664,12000,16.70267677307129,2.384185791015625e-07,2399,0.9952184557914734,-5.5822105,119.52751159667969,56,213
0.0007,2500,-42.397804260253906,12500,46.39997100830078,0.0,2499,0.9948503971099854,-2.0644019,237.39077758789062,56,222
0.0007,2600,-42.368099212646484,13000,12.517518997192383,0.0,2599,0.9939660429954529,0.44149247,-139.64797973632812,56,231
0.0007,2700,-42.397491455078125,13500,2.1593358516693115,1.1920928955078125e-07,2699,0.9951465129852295,-1.0194371,46.593345642089844,56,240
0.0007,2800,-42.36614990234375,14000,9.696004867553711,0.0,2799,0.9939790368080139,-4.618404,-122.44767761230469,56,248
0.0007,2900,-42.34031677246094,14500,2.9606661796569824,0.0,2899,0.993397057056427,-0.34152722,-16.544301986694336,56,257
0.0007,3000,-42.31346893310547,15000,206.415771484375,2.104043960571289e-05,2999,0.9924468994140625,5.488657,-552.7179565429688,56,266
0.0007,3100,-42.27456283569336,15500,96.6167984008789,0.0,3099,0.9909539818763733,-7.8921676,-207.4335174560547,56,275
0.0007,3200,-42.294761657714844,16000,19.86863899230957,1.1920928955078125e-07,3199,0.9919183254241943,4.3263617,-130.41883850097656,56,284
0.0007,3300,-42.28056335449219,16500,13.979421615600586,5.960464477539063e-08,3299,0.9912862777709961,-3.0784006,-115.07670593261719,56,293
0.0007,3400,-42.37534713745117,17000,47.92082977294922,0.0,3399,0.994594395160675,-1.0247914,-206.37741088867188,56,301
0.0007,3500,-42.34566879272461,17500,159.03207397460938,0.0,3499,0.9937734007835388,3.9078445,491.63592529296875,56,310
0.0007,3600,-42.386566162109375,18000,384.96014404296875,0.0,3599,0.9953122735023499,0.6183373,-728.7762451171875,56,319
0.0007,3700,-42.44229507446289,18500,9.277532577514648,0.0,3699,0.9967483282089233,-0.6556799,-134.76791381835938,56,328
0.0007,3800,-42.44709014892578,19000,7.325551509857178,5.960464477539063e-08,3799,0.9974855184555054,-5.022275,-34.780250549316406,56,337
0.0007,3900,-42.45965576171875,19500,66.5789566040039,0.0,3899,0.9975734353065491,2.1438015,-339.4953918457031,56,345
0.0007,4000,-42.4556884765625,20000,26.625879287719727,0.0,3999,0.9973964095115662,-3.138871,143.31915283203125,56,354
0.0007,4100,-42.4222412109375,20500,77.73255920410156,0.0,4099,0.9963804483413696,-9.170855,253.7247772216797,56,363
0.0007,4200,-42.44856262207031,21000,3.3184432983398438,1.1920928955078125e-07,4199,0.9974276423454285,1.372853,53.95537567138672,56,372
0.0007,4300,-42.473140716552734,21500,6.912306308746338,0.0,4299,0.9982383847236633,-3.7117517,108.9494857788086,56,381
0.0007,4400,-42.470848083496094,22000,7.8739447593688965,-1.1920928955078125e-07,4399,0.9984133243560791,-7.403728,85.75135040283203,56,390
0.0007,4500,-42.54853057861328,22500,3.3713111877441406,-0.00018155574798583984,4499,1.0009976625442505,-6.9158096,47.08155059814453,56,399
0.0007,4600,-42.5191650390625,23000,242.6636505126953,0.0,4599,0.9997807145118713,0.88637966,499.0382385253906,56,407
0.0007,4700,-42.520938873291016,23500,8.748428344726562,0.0,4699,1.000289797782898,-2.204816,-107.68907165527344,56,416
0.0007,4800,-42.5458984375,24000,2.5638427734375,0.0,4799,1.0009868144989014,2.8523772,22.336956024169922,56,425
0.0007,4900,-42.568397521972656,24500,46.18462371826172,0.0,4899,1.001689076423645,7.3216376,199.6744384765625,56,434
0.0007,5000,-42.62223434448242,25000,19.232839584350586,0.0,4999,1.003380298614502,-2.0078,3.681082248687744,56,443
0.0007,5100,-42.64392852783203,25500,17.054561614990234,0.0,5099,1.0043174028396606,0.75850105,20.608318328857422,56,452
0.0007,5200,-42.611083984375,26000,0.5230729579925537,5.960464477539063e-08,5199,1.003450870513916,1.7698933,-23.63032341003418,56,461
0.0007,5300,-42.5860710144043,26500,2.1949355602264404,0.0,5299,1.002254843711853,1.2318509,41.386680603027344,56,470
0.0007,5400,-42.53089904785156,27000,58.545021057128906,0.0,5399,1.00057053565979,0.5824102,288.6136779785156,56,479
0.0007,5500,-42.61543655395508,27500,243.9818572998047,0.0,5499,1.0031402111053467,-10.867537,580.9850463867188,56,488
0.0007,5600,-42.57466506958008,28000,184.7451171875,0.0,5599,1.0019375085830688,-8.145756,-172.63442993164062,56,497
0.0007,5700,-42.6022834777832,28500,2.7079174518585205,-1.1920928955078125e-07,5699,1.0031907558441162,0.3383966,38.192909240722656,56,506
0.0007,5800,-42.659244537353516,29000,0.584121823310852,0.0,5799,1.00502347946167,-0.40348163,17.190866470336914,56,515
0.0007,5900,-42.643314361572266,29500,34.909934997558594,0.0,5899,1.004602074623108,1.4917088,226.1046905517578,56,524
0.0007,6000,-42.64392852783203,30000,12.163793563842773,5.960464477539063e-08,5999,1.0047760009765625,1.0132288,4.367529392242432,56,533
0.0007,6100,-42.68484115600586,30500,29.120525360107422,0.0,6099,1.005920171737671,-7.961758,-214.7034912109375,56,542
0.0007,6200,-42.69779968261719,31000,261.0953369140625,0.0,6199,1.0063016414642334,4.22605,530.0866088867188,56,551
0.0007,6300,-42.78761672973633,31500,2.695014238357544,0.0,6299,1.0095736980438232,-0.8985198,9.671528816223145,56,560
0.0007,6400,-42.777278900146484,32000,3.156412363052368,0.0,6399,1.0091229677200317,-5.100491,-41.325775146484375,56,569
0.0007,6500,-42.8055305480957,32500,8.133325576782227,0.0,6499,1.010543942451477,2.1901805,-30.06056785583496,56,578
0.0007,6600,-42.774227142333984,33000,19.36603355407715,1.1920928955078125e-07,6599,1.008938193321228,-0.19352044,-172.0026092529297,56,587
0.0007,6700,-42.728965759277344,33500,33.13679122924805,0.0,6699,1.0076268911361694,10.711369,202.60800170898438,56,595
0.0007,6800,-42.71735382080078,34000,1.4951717853546143,5.960464477539063e-08,6799,1.007347583770752,0.36602375,36.63810348510742,56,605
0.0007,6900,-42.690921783447266,34500,32.26808166503906,0.0,6899,1.0065001249313354,-2.383693,-220.19418334960938,56,613
0.0007,7000,-42.70113754272461,35000,11.906293869018555,5.960464477539063e-08,6999,1.0067819356918335,4.5322385,82.12495422363281,56,622
0.0007,7100,-42.72630310058594,35500,17.6185302734375,0.0,7099,1.0078552961349487,-1.6287004,144.01612854003906,56,631
0.0007,7200,-42.728919982910156,36000,66.10208892822266,-1.1920928955078125e-07,7199,1.0080724954605103,39.692387,336.74444580078125,56,640
0.0007,7300,-42.74542999267578,36500,1.2042906284332275,0.0,7299,1.0086169242858887,1.7530073,-32.02089309692383,56,649
0.0007,7400,-42.81212615966797,37000,0.41756266355514526,0.0,7399,1.010957956314087,0.855717,13.0198974609375,56,658
0.0007,7500,-42.75198745727539,37500,174.27796936035156,0.0,7499,1.0089647769927979,-4.2576103,-528.8104248046875,56,666
0.0007,7600,-42.76649475097656,38000,82.02542114257812,0.0,7599,1.0092421770095825,4.803156,214.5822296142578,56,675
0.0007,7700,-42.717926025390625,38500,42.95221710205078,0.0,7699,1.0079944133758545,2.1119537,-236.7855987548828,56,684
0.0007,7800,-42.7563591003418,39000,11.242591857910156,0.0,7799,1.009490728378296,-1.4210175,-98.53956604003906,56,693
0.0007,7900,-42.70774841308594,39500,2.046025276184082,-1.1920928955078125e-07,7899,1.0078710317611694,-0.9686894,-58.738853454589844,56,702
0.0007,8000,-42.76951599121094,40000,5.8898797035217285,1.1920928955078125e-07,7999,1.0099561214447021,5.7672153,-90.29304504394531,56,711
0.0007,8100,-42.77524948120117,40500,7.572574615478516,0.0,8099,1.0101460218429565,2.1896303,-50.15570068359375,56,720
0.0007,8200,-42.710723876953125,41000,6.469067573547363,0.0,8199,1.008069634437561,2.4455929,54.39634323120117,56,729
0.0007,8300,-42.745765686035156,41500,0.5381543040275574,0.0,8299,1.009105920791626,-4.108154,-29.22283363342285,56,738
0.0007,8400,-42.828277587890625,42000,3.2562592029571533,0.0,8399,1.0118151903152466,-0.566908,-73.5229263305664,56,746
0.0007,8500,-42.86102294921875,42500,17.42647361755371,0.0,8499,1.0130449533462524,0.5541375,-169.7671356201172,56,755
0.0007,8600,-42.88562774658203,43000,13.163823127746582,0.0,8599,1.0136595964431763,-2.0869641,151.58627319335938,56,764
0.0007,8700,-42.84656524658203,43500,25.250478744506836,0.0,8699,1.012619972229004,1.078538,128.9646453857422,56,773
0.0007,8800,-42.87408447265625,44000,1.8665393590927124,-1.1920928955078125e-07,8799,1.0137823820114136,-0.8441565,-47.20488739013672,56,782
0.0007,8900,-42.910919189453125,44500,2.244597911834717,0.0,8899,1.0153334140777588,-1.5228437,-51.56669235229492,56,791
0.0007,9000,-43.0062255859375,45000,9.381022453308105,1.1920928955078125e-07,8999,1.0183494091033936,-0.21461883,128.86351013183594,56,800
0.0007,9100,-42.97380828857422,45500,216.0333709716797,1.1920928955078125e-07,9099,1.0171195268630981,4.3451443,612.481201171875,56,809
0.0007,9200,-42.978878021240234,46000,0.503680408000946,0.0,9199,1.0171411037445068,-6.890265,1.3094596862792969,56,818
0.0007,9300,-42.95235061645508,46500,34.60515213012695,0.0,9299,1.0164227485656738,5.286998,186.5013885498047,56,827
0.0007,9400,-42.98808288574219,47000,14.813161849975586,0.0,9399,1.0178207159042358,-1.4165533,-144.04556274414062,56,836
0.0007,9500,-43.01091766357422,47500,16.968759536743164,0.0,9499,1.0185534954071045,1.0150682,-151.8392333984375,56,845
0.0007,9600,-43.04885482788086,48000,23.709793090820312,-1.1920928955078125e-07,9599,1.0193440914154053,2.8617036,-178.20669555664062,56,854
0.0007,9700,-43.08260726928711,48500,44.67473602294922,0.0,9699,1.0206176042556763,0.43568057,272.696533203125,56,863
0.0007,9800,-43.07402038574219,49000,5.738677978515625,0.0,9799,1.020413875579834,4.9028735,-14.814468383789062,56,871
0.0007,9900,-43.10735321044922,49500,2.6635308265686035,0.0,9899,1.021659016609192,0.05750288,53.73173904418945,56,880
0.0007,10000,-43.12197494506836,50000,1.3862987756729126,0.0,9999,1.0225417613983154,-1.3429166,19.79054069519043,56,889
